# Generated release runtime artifact inventory
# Regenerate: .\gradlew.bat -I scripts/write-release-runtime-inventory.init.gradle :app:writeReleaseRuntimeInventory --no-daemon
# coordinate	artifact	bytes	sha256
androidx.activity:activity-compose:1.12.0	activity-compose:aar:-	1098175	056a0700aa7e7cf5f7be1eebb32a70534b63a662c1b7408c1f2b099d75a0d13f
androidx.activity:activity-ktx:1.12.0	activity-ktx:aar:-	5745	bdff4d2b8c6f28fb488e99635bd740ef3237e4d02e860cbb583c76c29b9eec8d
androidx.activity:activity:1.12.0	activity:aar:-	216551	1af72f689de924143a03fe5b6f698a7170d7aea842f71307746e8d1db8bbfeeb
androidx.annotation:annotation-experimental:1.5.0	annotation-experimental:aar:-	45139	02b0a4256618f85386c92e5cec166dc7f300820888a290227a3c0c65b82cbb36
androidx.annotation:annotation-jvm:1.10.0	annotation-jvm:jar:-	62171	ddd072ddbb553178e205517ce777b2f05aa9e412982d9ecb4eedc74f1212f697
androidx.appcompat:appcompat-resources:1.7.1	appcompat-resources:aar:-	63997	8e2db31224ca53b108c784da2b361959062716d416b210cfef3d5a3828306df0
androidx.arch.core:core-common:2.2.0	core-common:jar:-	11657	65308a06b1c00ee186cb9e19321383f043b993813f1522c47f4a3e3303bdba41
androidx.arch.core:core-runtime:2.2.0	core-runtime:aar:-	7577	a1be5e0caa2b07623862af6ae21b3ab0718123245184d0e30dea81b53f990a47
androidx.autofill:autofill:1.0.0	autofill:aar:-	4280	c9468f56e05006ea151a426c54957cd0799b8b83a579d2846dd22061f33e5ecd
androidx.collection:collection-jvm:1.5.0	collection-jvm:jar:-	877998	70b35924e4babcdffa37d0e575ee039c56a2d97123342624c48b603233704341
androidx.collection:collection-ktx:1.5.0	collection-ktx:jar:-	4799	939b4a8697640e77d83e4e8b4c4a9d18f8130198c5961194af8dd9db9dc7c353
androidx.compose.animation:animation-android:1.11.2	animation-android:aar:-	618209	7bace2411eea5c5a17716f459d19ae2bad3db8e15dfa293fe125806ef7416a2d
androidx.compose.animation:animation-core-android:1.11.2	animation-core-android:aar:-	420867	a64822c3316949b8050b3f61a88789194b049f65f444f8d8b9bb6183c28bf647
androidx.compose.foundation:foundation-android:1.11.2	foundation-android:aar:-	4234244	a0624c33dcac495c41882fd7e8445d1272bd160ac3893a28a66ce14f94fedd45
androidx.compose.foundation:foundation-layout-android:1.11.2	foundation-layout-android:aar:-	681902	3e9ee399dea7fb8334dceb6fedf5e20f7e2f619719f68ea056fed1166551ed48
androidx.compose.material3:material3-android:1.4.0	material3-android:aar:-	5167765	3a37e8b36df3822fe1e6059f0f9fafda8800388860477624ac1b9422c418a36e
androidx.compose.material:material-icons-core-android:1.7.8	material-icons-core-android:aar:-	823515	332c06b25e662cc417fb087e76b8faa5cb249f4992ffa3360084a3d4ab882284
androidx.compose.material:material-icons-extended-android:1.7.8	material-icons-extended-android:aar:-	35720998	64e86269f1106848981dd76f0046f81b46f3bd92efb22645de8fd044c0402b61
androidx.compose.material:material-ripple-android:1.9.3	material-ripple-android:aar:-	96342	8161fe3ebef7ecf3f40a53b7b69308507bb10b023b3fdc7b58efb31713688479
androidx.compose.runtime:runtime-android:1.11.2	runtime-android:aar:-	1989356	57331c640ad33f1f61e0d76d4e0abd637b45dafab37467d50758ec1fd47bb2f4
androidx.compose.runtime:runtime-annotation-android:1.11.2	runtime-annotation-android:aar:-	8883	cdbd7f8bea4415ea56e9852950a895da15ba59506b0b917b1e21e5607a429844
androidx.compose.runtime:runtime-retain-android:1.11.2	runtime-retain-android:aar:-	106873	28447d90a4a0b47653c1188ae272ffa6784ca0845fff1927bf4afdcf096c13af
androidx.compose.runtime:runtime-saveable-android:1.11.2	runtime-saveable-android:aar:-	103642	1812ed647bc35af97ea57fc77122a71ae19e9fad69f3623e86ee341b5af08464
androidx.compose.ui:ui-android:1.11.2	ui-android:aar:-	4331971	a0d7f930af2ca775ce5e0e55c83f28a36c3b9b35ee0475190c3ff062f6962572
androidx.compose.ui:ui-geometry-android:1.11.2	ui-geometry-android:aar:-	59124	3a8396df3c782f8e57534ef4e7c81b9ccb889bcffcf720e84c7ca2dd100e2dda
androidx.compose.ui:ui-graphics-android:1.11.2	ui-graphics-android:aar:-	738361	5c51077dad8a7216e7b8f2f960d2a82d08a832129ffe69ff073d8fe4ba337b12
androidx.compose.ui:ui-text-android:1.11.2	ui-text-android:aar:-	817036	e39f5e76ed6707d8aedf3d846736c61f11befde05504d18be03f9eb39bab06f0
androidx.compose.ui:ui-tooling-preview-android:1.11.2	ui-tooling-preview-android:aar:-	23176	83ca0badaf55af586d7a51797a6bb75119c2dfc91d78f581f0333179f17f9440
androidx.compose.ui:ui-unit-android:1.11.2	ui-unit-android:aar:-	99724	cdfa682d171c8a93096375e236ea5998739c09b93f72fd71eaff099011a168a6
androidx.compose.ui:ui-util-android:1.11.2	ui-util-android:aar:-	22863	06ccfaf7c8bc1c5f6ea263233c47d585b5a5e51afba29c3d2149596f54622597
androidx.concurrent:concurrent-futures-ktx:1.1.0	concurrent-futures-ktx:jar:-	5605	1968bf52039e38636aa6f114cd17d7256919d1e8997417716fef9d1da1f24d85
androidx.concurrent:concurrent-futures:1.1.0	concurrent-futures:jar:-	25987	0ce067c514a0d1049d1bebdf709e344ed3266fe9744275682937cdcb13334e9e
androidx.core:core-ktx:1.16.0	core-ktx:aar:-	175736	1766dbd82f64a12dcd359ecb6f15f3cf35db4d66d22961a7c51b2ffc6468314c
androidx.core:core-viewtree:1.0.0	core-viewtree:aar:-	6980	dc1b678d58ebcf2bfa1587be68ff826694ce3d221251b9ef30d4d4b36297e6de
androidx.core:core:1.16.0	core:aar:-	1377184	6bf03d39dbe3744acce227d3b697374c3625aae1025fbec8ad9fd7bd58bce431
androidx.customview:customview-poolingcontainer:1.0.0	customview-poolingcontainer:aar:-	6608	3584102fc49bf399c56e3b7be4bfe12000c46112320cd8cf85cc0a8f93f3e752
androidx.customview:customview:1.0.0	customview:aar:-	33238	20e5b8f6526a34595a604f56718da81167c0b40a7a94a57daa355663f2594df2
androidx.datastore:datastore-android:1.2.1	datastore-android:aar:-	27934	c4cc022986cce743a70ef6d0b6f8904c8fcab48ed3a5ff784202788400e0f679
androidx.datastore:datastore-core-android:1.2.1	datastore-core-android:aar:-	210313	435edad7bcb1fbb1a2a46de7be4d6daf299479b3328ebf757ebdfe02810cbdd8
androidx.datastore:datastore-core-okio-jvm:1.2.1	datastore-core-okio-jvm:jar:-	31870	7ade6239a67674834f5724428e772c4176229ed30be253ac7e52082a2907ee05
androidx.datastore:datastore-preferences-android:1.2.1	datastore-preferences-android:aar:-	18741	de190899336602569b33a31b7fab616a457747a80fc01efc1b0c9f7228d80260
androidx.datastore:datastore-preferences-core-android:1.2.1	datastore-preferences-core-android:aar:-	37489	48c2235e576fb015f861726e79ee9474948e37da31d2c887c16ebeb46817059f
androidx.datastore:datastore-preferences-external-protobuf:1.2.1	datastore-preferences-external-protobuf:jar:-	1050687	4f09ba7fca2a073a5c5527a9b637582b93e262c2b6a89977c584d28cea838ebc
androidx.datastore:datastore-preferences-proto:1.2.1	datastore-preferences-proto:jar:-	30364	d9bbd94f78e9a6c93308eed26b8a7ed46b1f128a19c282fe36f96804e9d7c184
androidx.documentfile:documentfile:1.0.0	documentfile:aar:-	11221	865a061ef2fad16522f8433536b8d47208c46ff7c7745197dfa1eeb481869487
androidx.dynamicanimation:dynamicanimation:1.0.0	dynamicanimation:aar:-	32597	ce005162c229bf308d2d5b12fb6cad0874069cbbeaccee63a8193bd08d40de04
androidx.emoji2:emoji2:1.4.0	emoji2:aar:-	143546	433febd3434a45667176c76a64f3f205ca6335a6b544c5b5d57f25a38a375242
androidx.exifinterface:exifinterface:1.4.2	exifinterface:aar:-	75550	6bb2b68682a2023c55f35f941444ffea0157947b061e4fd7606ba935e2e77425
androidx.graphics:graphics-path:1.0.1	graphics-path:aar:-	39380	8ca4032b6d79b351f0b59ad4b580eddbb9423e1652f7c958830687f1eee2ec03
androidx.interpolator:interpolator:1.0.0	interpolator:aar:-	7669	33193135a64fe21fa2c35eec6688f1a76e512606c0fc83dc1b689e37add7732a
androidx.legacy:legacy-support-core-utils:1.0.0	legacy-support-core-utils:aar:-	4104	a7edcf01d5b52b3034073027bc4775b78a4764bb6202bb91d61c829add8dd1c7
androidx.lifecycle:lifecycle-common-java8:2.10.0	lifecycle-common-java8:jar:-	4839	497dd84de9f2fd46324f25f9a3af032d3a23d087e87af515c4b19435f6d6a651
androidx.lifecycle:lifecycle-common-jvm:2.10.0	lifecycle-common-jvm:jar:-	60791	15943082d87bcd78830398fa377f2c8b12643de290d0906ed8e49a2d335ddb54
androidx.lifecycle:lifecycle-livedata-core-ktx:2.10.0	lifecycle-livedata-core-ktx:aar:-	5834	5f18429749a183e19178d8665ae42bf7b6310b50358ae9e0e0cc452afd6e0bc3
androidx.lifecycle:lifecycle-livedata-core:2.10.0	lifecycle-livedata-core:aar:-	34341	12dd61a9843ccebb4547d3ebe2f6d030ca8f6988d22f8fad19c0af93b4a97e95
androidx.lifecycle:lifecycle-livedata-ktx:2.10.0	lifecycle-livedata-ktx:aar:-	5806	3b42f425ab72b1d142ada7e075d78d9ab1500703729c1a342148eff4c0c23dcf
androidx.lifecycle:lifecycle-livedata:2.10.0	lifecycle-livedata:aar:-	55037	3e8c009fc88da1c52e4ed05a81269d5ac9bd405046f300307f5e3a17e201a6df
androidx.lifecycle:lifecycle-process:2.10.0	lifecycle-process:aar:-	19845	10bb5bb12773dca11d8343c014cfd17dfb40967d6ece37e8f15d04d8ceb0775c
androidx.lifecycle:lifecycle-runtime-android:2.10.0	lifecycle-runtime-android:aar:-	80161	2193a1573d623f37b20c7d27d1a8f903a72f651cc6f32e5794f85dda744fee75
androidx.lifecycle:lifecycle-runtime-compose-android:2.10.0	lifecycle-runtime-compose-android:aar:-	1051246	46e996d526829596f6db4626169a967f056fde7103507ff596bcd177b73c3675
androidx.lifecycle:lifecycle-runtime-ktx-android:2.10.0	lifecycle-runtime-ktx-android:aar:-	5337	871883703339f87284d232cb436e317c6f4af5612d92b43f27c6b13b92109fa7
androidx.lifecycle:lifecycle-service:2.10.0	lifecycle-service:aar:-	9951	60bea13bbea42b6aa007e5a48c0b432c9b3dd05887482a43baa8f5a9042dc2e2
androidx.lifecycle:lifecycle-viewmodel-android:2.10.0	lifecycle-viewmodel-android:aar:-	64099	9303287030027ca0b8cf98a748ddeb121ec1bfa1312c0069428e4765bbabce78
androidx.lifecycle:lifecycle-viewmodel-compose-android:2.10.0	lifecycle-viewmodel-compose-android:aar:-	1025140	225904e54ad5154768630471e108b98e143c261df0c08380ff43ea7e832dad7e
androidx.lifecycle:lifecycle-viewmodel-ktx:2.10.0	lifecycle-viewmodel-ktx:aar:-	5812	54295ac86b67886dc0613e38f621c531995d0662005fc763e340e19a90994f84
androidx.lifecycle:lifecycle-viewmodel-savedstate-android:2.10.0	lifecycle-viewmodel-savedstate-android:aar:-	56701	19404239fa584322c2f81e9659e162bc011b746d29dc950a11d260624d83225e
androidx.lifecycle:lifecycle-viewmodel:2.10.0	lifecycle-viewmodel:aar:-	4568	4b809cf9eb7323d200504e95921feb777ff080215cadb8237742d5ed0ba5b792
androidx.loader:loader:1.0.0	loader:aar:-	33445	11f735cb3b55c458d470bed9e25254375b518b4b1bad6926783a7026db0f5025
androidx.localbroadcastmanager:localbroadcastmanager:1.0.0	localbroadcastmanager:aar:-	6808	e71c328ceef5c4a7d76f2d86df1b65d65fe2acf868b1a4efd84a3f34336186d8
androidx.navigation3:navigation3-runtime-android:1.1.4	navigation3-runtime-android:aar:-	63096	7d056b3e13c436891e008738bad54983864cd660c286cc5b8ecdca9878a0391a
androidx.navigation3:navigation3-ui-android:1.1.4	navigation3-ui-android:aar:-	106635	c79d164e31da6414d79c509d29b1865e4a02375e5809850a096543fc175659b9
androidx.navigationevent:navigationevent-android:1.1.2	navigationevent-android:aar:-	49044	40a357103ab703762bf434f424a8486be18652b4aa25110f0d635a4cef5dcd63
androidx.navigationevent:navigationevent-compose-android:1.1.2	navigationevent-compose-android:aar:-	29799	ac9773dc9076d3b035ccf5494316d78a5f9abc18a8fa73fb211f92957286e1aa
androidx.paging:paging-common-android:3.5.0	paging-common-android:aar:-	664184	6a9d5385639523cfc652149d011b265f42ada748ea1aee0c43210163f6c5059e
androidx.paging:paging-common-ktx:3.5.0	paging-common-ktx:jar:-	4414	6517ee98aed511c5fd960f7828d7b7cd926cdadcf5898028615befb8a408579b
